id,enc_key,mac_key,nonce,tag_bits,associated_data,plaintext,ciphertext,tag
V1,b78d81fbba01f9911cf7a0b652c7ce4b261ea89c280d32c662dfe59ff150c604,ddea023fbbae83028d47902188278e9b7e3787402c0ded6ff697c8e1820b0d84,0469a0726387275fdb125d7e887fb4be77528a16088e8a89,128,,,,48c5b029f2e9407fd1cad9981d84cd61
V2,66b5244f67ed2c6f22caf8772009448ea2ff653a9b24333af64334fd3784830a,a8df54a8cf1fb7b71a80f2c2f89dc79452de0a1a05570cb67159247853a698db,a43c8d92d45b353a0bd0097df01d22b3819acdbf9c90b920,192,,578c10d8fb80b68b3d3706c6fa1472,f4d20b8e6f1f30d9087074227107d6,528067d5dc1deaf444b5569bb315144deb61cf74041d40e9
V3,64a32f8ca179c0fbfadcd2cc388235085c4d65d31c41fdbf0f632e9d50ca56c2,392df551d2e37fd7f1e1cf8cf24d7a3292614bcf82a8e3cf6c1a4897efbdfc15,90fde80e9f436d4306fdb83423e70f7286edc90c1e1c5743,256,38,4d5edc4e88b394a5b309331202e2e7d1aa5677c375ccf5c52a73a1c2bb95e5d072,661b1e17c13c560fc395a03e2afaab78f74f03084c186dbac21374ca4cc0b951ae,86b21ad1a13266f594cecf9a9975435a0708c96e26f248a79c36fea0d2935774
V4,e457eeefce985dc137ad404201386f8ff3d25c1fc0d4fedc93b2e5953a8102e1,7bc5afa1820dfe713e0e1db05a1081a82fd27707add6dd1bcf5d49dd0b85476b,8889002042c6b5893f01d8f6b5e725ef55bcf0b366ebc46a,128,48,d1601ac93f1fd1e414aa3c66786f6e587bd9741f8f771b12d88176865d7a4258d0ef0e09bf61f8ae5646ef8092a2c7ca329c1f9a5708370ff481c29dbca23e8b21ad67f63413b6364f0e43e4c0f60d38ff6e18079b849e89f2a213d9fd41ee2350,36f331a28ed78c945498b296a4a5ab7a3f6b2c0b3e6fa0fd76732ede68b74604b659fc014256bc9bb2cd64933d15077e4ac0e6638b469004ae60d4c9b1641ae22ff879e711395ceb06ad06c9cd7bb51f9827ee4f43a0363edb057c1ad5e8a7ba05,cd0564ec8584334e651ee214bd6d831f
V5,4a7e795e9389fcbde084f48f050c2c256f948ed0a4726793ef9fa1ca61e894f2,99cf74034bbb9611f9173dc418f461bf1dea7f9b5599e89fd8409c0e90b2d802,bd1e2f65a7340daeb575aecf7a8fe1d052907480316459cd,192,187da1,01bce66d300622,1a034d72ad96c1,81deea8bc1e95e2771a920fb5c9889f5b7c7e78b7dd411cd
V6,465f1c6a681195876b9b63b75d506c524acb56cfb25afd4b7c244027994aae30,45e4b97f8825142eb620f8af509fdc92e92be7fe95877c0f1b99ab4418c3b88a,045409d7fc0bb0544d9ab6f7534d121186e4c58992b5ff62,256,cf056f3788948a,6b94a54a87b0a86a8409835723de78872a7b9755cdc654d52d582be63e8cc790,94cda8f35fbbe607ccfd327b86f35df8af87d393d471fb85eb3179a7bf692af4,66f4b4a692a406b5ab07e32071fea4e704cb07a91e53ad0a3d340616cb86e6e6
V7,2d3f26762683e1a976cb6d3e3b241b4657d84f0ad26d1da1dc6d99d89e8d79b4,7f0cfdbe328bfc78782ed88b0b0f8be77b68047a7ea85dbab8c99151fab2e5f3,a5f2addf3bc66f3150e3143b9baf6f294696a7beb90fe04b,128,e2531d852f33a8df,161442f16dd52836bd33ee828a7741a6e98bd927a141e470953e29520b3a7e99a6232c5f3b064f7bb7b2e72fb056f8e841f0221aec01cbbb4badad629ae595e816,fe27c0647c0486b6bde68c823f349a3b666d95f21d32be26198e5180467c1a38b1a39b9b852d33209df90f63b00d5bb061cc3626a261302885948c9fb0709367fb,2a329fc6f86351c4b06a648dfe1aa7b4
V8,afaf622146778ff4260997fa2f8296d7aa3ed1cc6aa6047e1748fd9be95f4c83,c5cd8c1e48b5b4cf0a2f13aa4930cd0a4c33297a04346561d0c87e358ee78b48,e47b2b807086e7ba730a1b9237555b5a74b0733026756291,192,51d1e02df01ca24e,f55b2e,700fe2,d128362c07cc019f8a62c1ceb3201cc59af865b35a75f2bb
V9,44953181ceddb355d88a7ff525a91166a6b868af4173f72c20af3332881c1257,76d0908c2e50cad7e6007c2033cb822b8e4e5f71b13b391c6449a36779279dea,688c3c24ad9e619ab3c3683aa13bac08dd377dfd141c77d8,256,d5a913ee3e1275a4c9a00b98e33a11,6709c0bc8917828f7fc086c3d20c45fbacab1cdcee09e19c839fbd553a5778,9467c1dd29bcaa13330ef089123b8c647662b25347b424f3ae51c5e0ef3b2e,3edb11988291f3efa7a0c7c0c41d2c4dda6ae20636eb110ab122fff10641c883
V10,55575c411e325462c51dc0684afb94e0381fa6d3d895dffbf2ee13508422a2b4,7f68ed941ce82c0d468049e138d0e291e3a3226749d4d34525c72a95362389b3,3af2006ad9b76b43dc71340ac395da9af865d84fe10811c2,128,1e67a98df10f10b45c57d95e0f7af8e9,a937af023be22e0325936d031149c97de003d10f4e798c1bce556357e7707d9a316ca75f82118470814bc79960b83b2a12513cab8af8a87d490b08958c1e44bb,e1334add24f7618b19809e71d380e596e2e486384633711cb7125aebe38931f234fa235d5473548be4089ab1dfc9dcabfdb3b1f3727c5b459134aa6e5522cd84,66ced5c65acd0e4dac3fc052e29f291d
V11,6df2f36d56d93492a93bdd713a2edebfd4acb7de717ccf7fc0e6eb20a3036959,4004a44ce502bca16bb570dd80b4688bd402362c12cb0af8a0f532f9a293dded,e74ba089cbd27429f876d1eeca4d5b2e6533da7301822545,192,c1af5bcc4257a41a98328001be377c6a,8a0b,ddeb,167310ba7fa4f3c01892800f41f3d62dfad00d469c7dde2a
V12,db929b00df12ecdd642307d3d9b187a565b49f73814fae346f23bc18cdd6bc25,4dacb7f4b630425c6a1d4b0e75c49710596dbf82db6e294b8bfb1cf983417b2a,73e3c2170f2deee99334482845e6b02d4e8963c53001db0d,256,52cd34665f460385a1a4369e05402363a81200224a21b9,19ef23b3b7deba2a6704c740fdb57fe628,c2e9656f8e7360099cd9c3f0b28bb3ecd8,04da8732ada3a0e1561b2df51fd7bcf243ae4c30917fd28d4e03d0cdabbc7ed5
V13,26dadea49eb4df0d2fe00b28cffe90c9039baf413bb6d6befc2bca62f79e6219,fc356bc07e95370181d3922a16e6765402e0a48fb7c528be9b2869c4c8062f8d,5f35043ab693fbcdd3af100d8e223b33ef80a27fccb76936,128,bc95617a9a26c990cf7a0dd191156a711b3ef32c05bbde400db241fdad80ac,4e753ace615c8a9bf68f4074182b940545a8a04bfa89f9d1ebab4adccbaea439e806d73ea2b4708603b0a2e8e2b9d07c33ebfa9d0bab2ce86d2aa74e1c6bba,b7357070878f42e372462ca165a84b66eb5550fbc65904debc5f2e703a19d27eb0f5c2380866c8fb4799d5cefd0bf50abf7af97b6b91d8e342e8c491f75089,f5f04a4bc90ceb593cc468adee5b802a
