profile_bits,case,state_bit,state_region,x,y,z,cell_bit,prefix_distance,full32_distance,extended64_distance,first_changed_byte,changed_prefix_bit,first_controller_stage,first_non_single_stage,single_bit_until_first_output
128,0,64,cube,0,1,0,0,0,40,175,22,,40,40,0
128,0,65,cube,0,1,0,1,0,37,150,22,,40,40,0
128,0,66,cube,0,1,0,2,0,42,174,22,,40,40,0
128,0,67,cube,0,1,0,3,0,34,149,22,,40,40,0
128,0,68,cube,0,1,0,4,0,41,163,22,,40,40,0
128,0,69,cube,0,1,0,5,0,35,170,22,,40,40,0
128,0,70,cube,0,1,0,6,0,39,161,22,,40,40,0
128,0,71,cube,0,1,0,7,0,36,156,22,,40,40,0
128,0,112,cube,6,1,0,0,0,26,160,24,,43,43,1
128,0,113,cube,6,1,0,1,0,31,143,24,,43,43,1
128,0,114,cube,6,1,0,2,0,30,168,24,,43,43,1
128,0,115,cube,6,1,0,3,0,32,158,24,,43,43,1
128,0,116,cube,6,1,0,4,0,32,153,24,,43,43,1
128,0,117,cube,6,1,0,5,0,35,165,24,,43,43,1
128,0,118,cube,6,1,0,6,0,34,172,24,,43,43,1
128,0,119,cube,6,1,0,7,0,28,164,24,,43,43,1
128,0,128,cube,0,2,0,0,0,42,169,19,,37,37,0
128,0,129,cube,0,2,0,1,0,48,178,19,,37,37,0
128,0,130,cube,0,2,0,2,0,49,184,19,,37,37,0
128,0,131,cube,0,2,0,3,0,46,174,19,,37,37,0
128,0,132,cube,0,2,0,4,0,55,187,19,,37,37,0
128,0,133,cube,0,2,0,5,0,54,175,19,,37,37,0
128,0,134,cube,0,2,0,6,0,58,205,19,,37,37,0
128,0,135,cube,0,2,0,7,0,58,194,19,,37,37,0
128,0,224,cube,4,3,0,0,0,0,65,45,,63,63,0
128,0,225,cube,4,3,0,1,0,0,81,45,,63,63,0
128,0,226,cube,4,3,0,2,0,0,65,45,,63,63,0
128,0,227,cube,4,3,0,3,0,0,67,45,,63,63,0
128,0,228,cube,4,3,0,4,0,0,72,45,,63,63,0
128,0,229,cube,4,3,0,5,0,0,63,45,,63,63,0
128,0,230,cube,4,3,0,6,0,0,82,45,,63,63,0
128,0,231,cube,4,3,0,7,0,0,73,45,,63,63,0
128,0,240,cube,6,3,0,0,0,23,152,27,,45,45,0
128,0,241,cube,6,3,0,1,0,21,146,27,,45,45,0
128,0,242,cube,6,3,0,2,0,24,153,27,,45,45,0
128,0,243,cube,6,3,0,3,0,18,133,27,,45,45,0
128,0,244,cube,6,3,0,4,0,19,150,27,,45,45,0
128,0,245,cube,6,3,0,5,0,18,145,27,,45,45,0
128,0,246,cube,6,3,0,6,0,19,149,27,,45,45,0
128,0,247,cube,6,3,0,7,0,21,141,27,,45,45,0
128,0,456,cube,1,7,0,0,0,0,17,60,,78,78,0
128,0,457,cube,1,7,0,1,0,0,14,60,,78,78,0
128,0,458,cube,1,7,0,2,0,0,14,60,,78,78,0
128,0,459,cube,1,7,0,3,0,0,15,60,,78,78,0
128,0,460,cube,1,7,0,4,0,0,18,60,,78,78,0
128,0,461,cube,1,7,0,5,0,0,19,60,,78,78,0
128,0,462,cube,1,7,0,6,0,0,13,60,,78,78,0
128,0,463,cube,1,7,0,7,0,0,17,60,,78,78,0
128,0,512,cube,0,0,1,0,0,32,158,24,,42,42,0
128,0,513,cube,0,0,1,1,0,34,155,24,,42,42,0
128,0,514,cube,0,0,1,2,0,33,164,24,,42,42,0
128,0,515,cube,0,0,1,3,0,39,153,24,,42,42,0
128,0,516,cube,0,0,1,4,0,28,152,24,,42,42,0
128,0,517,cube,0,0,1,5,0,32,162,24,,42,42,0
128,0,518,cube,0,0,1,6,0,29,169,24,,42,42,0
128,0,519,cube,0,0,1,7,0,30,159,24,,42,42,0
128,0,528,cube,2,0,1,0,0,38,175,23,,41,41,0
128,0,529,cube,2,0,1,1,0,38,171,23,,41,41,0
128,0,530,cube,2,0,1,2,0,34,163,23,,41,41,0
128,0,531,cube,2,0,1,3,0,41,170,23,,41,41,0
128,0,532,cube,2,0,1,4,0,27,153,23,,41,41,0
128,0,533,cube,2,0,1,5,0,37,161,23,,41,41,0
128,0,534,cube,2,0,1,6,0,40,164,23,,41,41,0
128,0,535,cube,2,0,1,7,0,36,160,23,,41,41,0
128,0,592,cube,2,1,1,0,0,20,137,26,,44,44,0
128,0,593,cube,2,1,1,1,0,31,171,26,,44,44,0
128,0,594,cube,2,1,1,2,0,26,163,26,,44,44,0
128,0,595,cube,2,1,1,3,0,26,158,26,,44,44,0
128,0,596,cube,2,1,1,4,0,20,147,26,,44,44,0
128,0,597,cube,2,1,1,5,0,21,150,26,,44,44,0
128,0,598,cube,2,1,1,6,0,29,155,26,,44,44,0
128,0,599,cube,2,1,1,7,0,24,154,26,,44,44,0
128,0,632,cube,7,1,1,0,0,27,148,26,,44,44,0
128,0,633,cube,7,1,1,1,0,25,165,26,,44,44,0
128,0,634,cube,7,1,1,2,0,22,145,26,,44,44,0
128,0,635,cube,7,1,1,3,0,30,148,26,,44,44,0
128,0,636,cube,7,1,1,4,0,19,145,26,,44,44,0
128,0,637,cube,7,1,1,5,0,23,153,26,,44,44,0
128,0,638,cube,7,1,1,6,0,24,170,26,,44,44,0
128,0,639,cube,7,1,1,7,0,22,142,26,,44,44,0
128,0,768,cube,0,4,1,0,0,20,142,28,,46,46,0
128,0,769,cube,0,4,1,1,0,17,137,28,,46,46,0
128,0,770,cube,0,4,1,2,0,14,145,28,,46,46,0
128,0,771,cube,0,4,1,3,0,17,141,28,,46,46,0
128,0,772,cube,0,4,1,4,0,11,143,28,,46,46,0
128,0,773,cube,0,4,1,5,0,18,135,28,,46,46,0
128,0,774,cube,0,4,1,6,0,12,134,28,,46,46,0
128,0,775,cube,0,4,1,7,0,14,147,28,,46,46,0
128,0,784,cube,2,4,1,0,0,16,146,28,,46,46,0
128,0,785,cube,2,4,1,1,0,16,137,28,,46,46,0
128,0,786,cube,2,4,1,2,0,17,133,28,,46,46,0
128,0,787,cube,2,4,1,3,0,16,131,28,,46,46,0
128,0,788,cube,2,4,1,4,0,11,138,28,,46,46,0
128,0,789,cube,2,4,1,5,0,14,144,28,,46,46,0
128,0,790,cube,2,4,1,6,0,17,133,28,,46,46,0
128,0,791,cube,2,4,1,7,0,16,135,28,,46,46,0
128,0,992,cube,4,7,1,0,0,54,186,19,,37,37,0
128,0,993,cube,4,7,1,1,0,56,192,19,,37,37,0
128,0,994,cube,4,7,1,2,0,41,171,19,,37,37,0
128,0,995,cube,4,7,1,3,0,49,182,19,,37,37,0
128,0,996,cube,4,7,1,4,0,50,179,19,,37,37,0
128,0,997,cube,4,7,1,5,0,68,210,19,,37,37,0
128,0,998,cube,4,7,1,6,0,53,194,19,,37,37,0
128,0,999,cube,4,7,1,7,0,54,186,19,,37,37,0
128,0,1072,cube,6,0,2,0,0,26,153,25,,43,43,0
128,0,1073,cube,6,0,2,1,0,24,155,25,,43,43,0
128,0,1074,cube,6,0,2,2,0,26,136,25,,43,43,0
128,0,1075,cube,6,0,2,3,0,27,156,25,,43,43,0
128,0,1076,cube,6,0,2,4,0,26,152,25,,43,43,0
128,0,1077,cube,6,0,2,5,0,28,141,25,,43,43,0
128,0,1078,cube,6,0,2,6,0,30,147,25,,43,43,0
128,0,1079,cube,6,0,2,7,0,21,148,25,,43,43,0
128,0,1320,cube,5,4,2,0,0,0,114,38,,56,56,0
128,0,1321,cube,5,4,2,1,0,0,102,38,,56,56,0
128,0,1322,cube,5,4,2,2,0,0,112,38,,56,56,0
128,0,1323,cube,5,4,2,3,0,0,110,38,,56,56,0
128,0,1324,cube,5,4,2,4,0,0,101,38,,56,56,0
128,0,1325,cube,5,4,2,5,0,0,107,38,,56,56,0
128,0,1326,cube,5,4,2,6,0,0,100,38,,56,56,0
128,0,1327,cube,5,4,2,7,0,0,98,38,,56,56,0
128,0,1336,cube,7,4,2,0,0,0,52,50,,68,68,0
128,0,1337,cube,7,4,2,1,0,0,50,50,,68,68,0
128,0,1338,cube,7,4,2,2,0,0,55,50,,68,68,0
128,0,1339,cube,7,4,2,3,0,0,50,50,,68,68,0
128,0,1340,cube,7,4,2,4,0,0,61,50,,68,68,0
128,0,1341,cube,7,4,2,5,0,0,49,50,,68,68,0
128,0,1342,cube,7,4,2,6,0,0,59,50,,68,68,0
128,0,1343,cube,7,4,2,7,0,0,52,50,,68,68,0
128,0,1344,cube,0,5,2,0,0,0,38,55,,73,73,0
128,0,1345,cube,0,5,2,1,0,0,39,55,,73,73,0
128,0,1346,cube,0,5,2,2,0,0,39,55,,73,73,0
128,0,1347,cube,0,5,2,3,0,0,37,55,,73,73,0
128,0,1348,cube,0,5,2,4,0,0,38,55,,73,73,0
128,0,1349,cube,0,5,2,5,0,0,30,55,,73,73,0
128,0,1350,cube,0,5,2,6,0,0,36,55,,73,73,0
128,0,1351,cube,0,5,2,7,0,0,38,55,,73,73,0
128,0,1352,cube,1,5,2,0,0,0,89,40,,58,58,0
128,0,1353,cube,1,5,2,1,0,0,92,40,,58,58,0
128,0,1354,cube,1,5,2,2,0,0,97,40,,58,58,0
128,0,1355,cube,1,5,2,3,0,0,100,40,,58,58,0
128,0,1356,cube,1,5,2,4,0,0,90,40,,58,58,0
128,0,1357,cube,1,5,2,5,0,0,84,40,,58,58,0
128,0,1358,cube,1,5,2,6,0,0,99,40,,58,58,0
128,0,1359,cube,1,5,2,7,0,0,99,40,,58,58,0
128,0,1368,cube,3,5,2,0,0,0,33,56,,74,74,0
128,0,1369,cube,3,5,2,1,0,0,34,56,,74,74,0
128,0,1370,cube,3,5,2,2,0,0,34,56,,74,74,0
128,0,1371,cube,3,5,2,3,0,0,31,56,,74,74,0
128,0,1372,cube,3,5,2,4,0,0,37,56,,74,74,0
128,0,1373,cube,3,5,2,5,0,0,43,56,,74,74,0
128,0,1374,cube,3,5,2,6,0,0,28,56,,74,74,0
128,0,1375,cube,3,5,2,7,0,0,33,56,,74,74,0
128,0,1392,cube,6,5,2,0,0,0,11,60,,79,79,1
128,0,1393,cube,6,5,2,1,0,0,12,60,,79,79,1
128,0,1394,cube,6,5,2,2,0,0,11,60,,79,79,1
128,0,1395,cube,6,5,2,3,0,0,15,60,,79,79,1
128,0,1396,cube,6,5,2,4,0,0,14,60,,79,79,1
128,0,1397,cube,6,5,2,5,0,0,13,60,,79,79,1
128,0,1398,cube,6,5,2,6,0,0,16,60,,79,79,1
128,0,1399,cube,6,5,2,7,0,0,14,60,,79,79,1
128,0,1472,cube,0,7,2,0,0,0,105,37,,55,55,0
128,0,1473,cube,0,7,2,1,0,0,103,37,,55,55,0
128,0,1474,cube,0,7,2,2,0,0,113,37,,55,55,0
128,0,1475,cube,0,7,2,3,0,0,108,37,,55,55,0
128,0,1476,cube,0,7,2,4,0,0,91,37,,55,55,0
128,0,1477,cube,0,7,2,5,0,0,111,37,,55,55,0
128,0,1478,cube,0,7,2,6,0,0,103,37,,55,55,0
128,0,1479,cube,0,7,2,7,0,0,113,37,,55,55,0
128,0,1600,cube,0,1,3,0,0,0,0,,,,,1
128,0,1601,cube,0,1,3,1,0,0,0,,,,,1
128,0,1602,cube,0,1,3,2,0,0,0,,,,,1
128,0,1603,cube,0,1,3,3,0,0,0,,,,,1
128,0,1604,cube,0,1,3,4,0,0,0,,,,,1
128,0,1605,cube,0,1,3,5,0,0,0,,,,,1
128,0,1606,cube,0,1,3,6,0,0,0,,,,,1
128,0,1607,cube,0,1,3,7,0,0,0,,,,,1
128,0,1632,cube,4,1,3,0,0,18,139,26,,44,44,0
