record,compiler,operation,tag_bits,message_bytes,latency_ms_median,mib_per_second_median,tsc_ticks_per_byte_median,current_rss_with_output_kib
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,0,0.575695,,,3496
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,0,0.574803,,,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,0,0.574597,,,3440
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,0,0.573541,,,3496
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,0,0.571767,,,3496
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,0,0.568551,,,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,16,0.971016,0.015714,97583.281808,3432
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,16,0.976722,0.015622,98156.823103,3484
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,16,0.978716,0.015591,98357.454799,3492
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,16,0.976673,0.015623,98152.234375,3488
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,16,0.979261,0.015582,98412.226562,3492
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,16,0.977782,0.015606,98263.703125,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,64,1.498992,0.040717,37660.940625,3492
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,64,1.498657,0.040727,37652.480078,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,64,1.501302,0.040655,37718.918555,3408
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,64,1.511168,0.040389,37966.600000,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,64,1.497221,0.040766,37616.310156,3476
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,64,1.501577,0.040647,37725.814063,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,256,4.274872,0.057111,26850.600952,3408
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,256,4.262300,0.057279,26771.212891,3484
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,256,4.274145,0.057120,26845.947021,3496
